FeatureID,Name,Formula,MW,KEGG Pathways,name4plot,C,H,O,NA,F,N,Cl,P,S,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,gap_status,control_means,treatment_means,log2FC,pval,pval.adj,Comment,Fungi,KEGGPathways
Feature0488,(+)-Piperitol,C20 H20 O6,356.12609,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;Other,(+)-Piperitol,20,20,6,0,0,0,0,0,0,1,0.3,-0.4000000000000003,71.7,11,5,0.35714285714285715,0.4705882352941176,5,Phenol,Full gap,21.218807601991426,21.776150086130702,0.5573424841392765,1.0053810257643462e-4,1.7953232602934755e-4,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0487,(±)13-HpODE,C18 H32 O4,294.21938,Metabolic pathways;Biosynthesis of secondary metabolites;Other,(±)13-HpODE,18,32,4,0,0,0,0,0,0,1.7777777777777777,0.2222222222222222,-1.333333333333333,98.29999999999998,3,-1,-0.07142857142857142,0.0625,-1,Lipid,Full gap,20.37593475605434,25.198404852805027,4.822470096750688,3.200396929777785e-7,7.273629385858603e-7,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0486,"(1R,4aS,5R,8aS)-5-(5-hydroxy-3-methylpentyl)-1,4a-dimethyl-6-methylidene-decahydronaphthalene-1-carboxylic acid",C20 H34 O3,322.25075,Metabolic pathways;Biosynthesis of secondary metabolites;Other,"(1R,4aS,5R,8aS)-5-(5-hydroxy-3-methylpentyl)-1,4a-dimethyl-6-methylidene-decahydronaphthalene-1-carboxylic acid",20,34,3,0,0,0,0,0,0,1.7,0.15,-1.4000000000000004,100.20000000000002,4,1,0.0588235294117647,0.13513513513513514,1,Lipid,Full gap,20.87138544460196,21.673484412873528,0.8020989682715687,0.024624910229503614,0.0321703102760736,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0439,"[Similar to: 4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid; ΔMass: -46.0418 Da]",C14 H21 N4 O5 P,356.1261,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites;Other,"[Similar to: 4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid; ΔMass: -46.0418 Da]",14,21,5,0,0,4,0,1,0,1.5,0.35714285714285715,-0.2857142857142856,68.44285714285714,7,2,-0.75,-0.07692307692307693,-3,Protein,Full gap,20.538162494748267,20.90446678011998,0.36630428537171156,0.015752145983889323,0.021234510517497862,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0436,"[Similar to: 4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid]",C22 H26 O7,370.14171,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of various plant secondary metabolites,"[Similar to: 4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid]-peak2",22,26,7,0,0,0,0,0,0,1.181818181818182,0.3181818181818182,-0.5454545454545459,75.84545454545456,10,3,0.2,0.35135135135135137,3,Phenol,Full gap,21.347143396611454,21.86601911424414,0.5188757176326853,4.747045008505904e-4,7.747402832873136e-4,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0428,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]-peak6",11,12,3,0,0,0,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,Full gap,20.4193554120306,21.328285184472406,0.9089297724418053,0.004778658992029144,0.006953075252952458,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0427,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]-peak5",11,12,3,0,0,0,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,Full gap,20.412066333600027,21.33272743010516,0.9206610965051318,0.0073991784175286585,0.010461563315271882,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0426,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]-peak4",11,12,3,0,0,0,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,Full gap,20.878881137842967,21.586274652795165,0.7073935149521979,0.0055660013191254675,0.00799295228595041,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0425,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]-peak3",11,12,3,0,0,0,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,Full gap,21.220322099577167,21.85903712544156,0.6387150258643928,0.005843175075318411,0.008347392964740588,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0424,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]",C11 H12 O3,192.07866,Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Phenylpropanoid biosynthesis;Other,"[Similar to: 4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole]-peak2",11,12,3,0,0,0,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,Full gap,20.958198143046012,21.851030939591126,0.8928327965451146,0.0031410679976968804,0.004656569807906427,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0410,[Similar to: 6-Aminocaproic acid],C6 H13 N O2,131.09459,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",[Similar to: 6-Aminocaproic acid]-peak1,6,13,2,0,0,1,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,Full gap,21.077375291220587,24.949566237295173,3.8721909460745856,1.0648338559508798e-21,2.909335353196365e-20,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0407,[Similar to: 8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid],C18 H28 O3,310.21441,Metabolic pathways;Biosynthesis of secondary metabolites;Other,[Similar to: 8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid]-peak2,18,28,3,0,0,0,0,0,0,1.5555555555555556,0.16666666666666666,-1.2222222222222223,95.13333333333333,5,2,0.13333333333333333,0.21212121212121213,2,Lipid,Full gap,22.317560448135147,25.18486942084876,2.8673089727136123,3.60108820107925e-6,7.25493959924391e-6,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0406,[Similar to: 8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid],C18 H28 O3,292.20382,Metabolic pathways;Biosynthesis of secondary metabolites;Other,[Similar to: 8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid]-peak1,18,28,3,0,0,0,0,0,0,1.5555555555555556,0.16666666666666666,-1.2222222222222223,95.13333333333333,5,2,0.13333333333333333,0.21212121212121213,2,Lipid,Full gap,21.10523423495308,24.654075597890813,3.5488413629377327,2.212685584969948e-7,5.134924353305787e-7,Upregulated,1154,Biosynthesis of secondary metabolites
Feature0383,[Similar to: Isoleucine],C6 H13 N O2,131.09459,"Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of amino acids;Biosynthesis of plant secondary metabolites;2-Oxocarboxylic acid metabolism;ABC transporters;Protein digestion and absorption;Aminoacyl-tRNA biosynthesis;Central carbon metabolism in cancer;Tropane, piperidine and pyridine alkaloid biosynthesis;Cyanoamino acid metabolism;Other",[Similar to: Isoleucine]-peak1,6,13,2,0,0,1,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,Full gap,22.793788376987,24.676052984493253,1.8822646075062544,0.03770120789637492,0.048110590122984236,Upregulated,1154,Biosynthesis of secondary metabolites
