FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,SampleID,AUC,Plant,Fungi
Feature0165,Adenosine,C10 H13 N5 O4,267.09675,171950044,743269264,696101538.9,1175248996,155975869.1,188386905.4,616581587.1,1357108263,845637758.7,925647307.9,778356683.2,298650.9187,Adenosine-peak2,10,13,5,4,0,0,0,1.3,0.4,1,31.799999999999997,7,3,-2,0,-2,Phenol,CTRL1,171950044,CTRL,CTRL
Feature0164,DL-Carbidopa,C10 H14 N2 O4,226.09535,297245783.7,1160396533,1102901533,1099965706,274591234.6,338821654.6,881341428.1,1085665192,959430045.6,1352782325,803965985.4,325032.8326,DL-Carbidopa-peak2,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,CTRL1,297245783.7,CTRL,CTRL
Feature0163,methoxyresorcinol,C7 H8 O3,140.04735,607373.5869,7443856.726,8146555.891,1328496974,2526197.608,1249161.622,7311472.835,4497777,1074745449,9697784.924,984328358.5,1430823.172,methoxyresorcinol-peak2,7,8,0,3,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.45454545454545453,1,Phenol,CTRL1,607373.5869,CTRL,CTRL
Feature0162,Choline,C5 H13 N O,103.09967,1258592902,730362497,770699118.2,346675206.1,1228856029,1327208320,822407853.3,1130348199,315737652.6,917177209.4,289742797.9,120683.6109,Choline,5,13,1,1,0,0,0,2.6,0.2,-1.5999999999999996,105.89999999999998,0,-1,-0.6666666666666666,-0.42857142857142855,-2,Other,CTRL1,1258592902,CTRL,CTRL
Feature0161,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,801393.4383,593936.1114,693410.2379,1261449757,918919.0132,610581.8145,555218.437,624575.9897,1159624125,619974.5323,1247678745,372753.6115,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak4",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,CTRL1,801393.4383,CTRL,CTRL
Feature0160,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,324.1057,1194768561,21189835.21,28284200.5,233204001.3,1166139855,1201971210,7082328.398,35149096.47,196789414.2,18076606.81,161961985.2,134888.5386,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride-peak2",12,20,0,10,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,3,-7,-3.5,-0.2857142857142857,-7,Carbohydrate,CTRL1,1194768561,CTRL,CTRL
Feature0159,Adenosine,C10 H13 N5 O4,267.09676,7961141.119,647420268.7,613175222.5,1152326006,153407001.2,186051840.4,525758452.4,60441321.41,821615467.7,829545130.1,755940589.5,226883.2077,Adenosine-peak1,10,13,5,4,0,0,0,1.3,0.4,1,31.799999999999997,7,3,-2,0,-2,Phenol,CTRL1,7961141.119,CTRL,CTRL
Feature0158,L-Phenylalanine,C9 H11 N O2,165.07901,1026682426,17409160.39,17456322.75,11139449.51,26366795.5,36213510.01,14247310.04,40916233.77,201643473.8,1142999795,92529350.45,122254.9798,L-Phenylalanine-peak1,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,CTRL1,1026682426,CTRL,CTRL
Feature0157,L-Glutamic acid,C5 H9 N O4,147.05318,566717837.7,431682611.9,319637014.3,1141392480,621356311.5,801787853.9,499661785.5,909900302,459571099.8,935112897.3,452181562.1,288352.2684,L-Glutamic acid,5,9,1,4,0,0,0,1.8,0.8,0.3999999999999999,48.9,2,-2,-Inf,-0.5,-3,Carbohydrate,CTRL1,566717837.7,CTRL,CTRL
Feature0156,L-Iditol,C6 H14 O6,182.07906,32725855.72,961964058.2,666561028.9,29896025.32,33395689.7,34603911.74,1029209088,1113135697,26513627.87,1025941581,29557190.36,163712.4014,L-Iditol,6,14,0,6,0,0,0,2.3333333333333335,1,-0.33333333333333304,69.79999999999998,0,-6,-Inf,-1,-6,Carbohydrate,CTRL1,32725855.72,CTRL,CTRL
Feature0155,DL-Carbidopa,C10 H14 N2 O4,226.09535,292953637.2,1103562608,1049543444,1049746355,273337567.2,342781123.4,845775223.3,1036922106,918893740.2,969406341.2,66918176.08,164948.3633,DL-Carbidopa-peak1,10,14,2,4,0,0,0,1.4,0.4,0,60.3,5,1,-0.25,0.16666666666666666,-1,Phenol,CTRL1,292953637.2,CTRL,CTRL
Feature0154,Isoleucine,C6 H13 N O2,131.0946,598472223,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,1083152870,3407404.451,9023292.215,1538905.937,238120.8703,Isoleucine-peak6,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,CTRL1,598472223,CTRL,CTRL
Feature0153,DL-Carnitine,C7 H15 N O3,161.10522,9637438.535,1060131791,756974997.9,407891999.1,12893917.96,10665770.03,846557165.4,975636374.6,382768014.7,1057461702,383521723.6,155044.3168,DL-Carnitine,7,15,1,3,0,0,0,2.142857142857143,0.42857142857142855,-0.8571428571428568,84.72857142857141,1,-2,-1,-0.3333333333333333,-3,Protein,CTRL1,9637438.535,CTRL,CTRL
Feature0152,methoxyresorcinol,C7 H8 O3,140.04733,443566.3653,7149367.179,946833.7579,5470175.518,487064.383,1039333.518,6943650.926,4226971.12,992563721,9058681.838,902814352.8,1174860.685,methoxyresorcinol-peak1,7,8,0,3,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.45454545454545453,1,Phenol,CTRL1,443566.3653,CTRL,CTRL
Feature0151,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,209.05352,49274097.73,314124152.6,132865269.8,972581721.9,730045800.2,849257203.1,215515881.7,232727398.6,15268417.02,6469997.607,12226703.68,54741.69576,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],6,11,1,7,0,0,0,1.8333333333333333,1.1666666666666667,1,31.799999999999997,2,-5,3,-1.6666666666666667,-6,Carbohydrate,CTRL1,49274097.73,CTRL,CTRL
Feature0150,Proline,C5 H9 N O2,115.06328,740088477.4,163866357.2,216613461.5,231194434.7,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,694260.1783,Proline,5,9,1,2,0,0,0,1.8,0.4,-0.40000000000000036,71.7,2,0,-0.5,0,-1,Protein,CTRL1,740088477.4,CTRL,CTRL
Feature0149,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2971 Da],C6 H11 N O7,209.05352,749589617,11854339.32,2811829.681,12166944.09,15543524.02,4447270.998,10758494.19,232727398.6,866289828,304101284,783591342,55290.92011,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2971 Da],6,11,1,7,0,0,0,1.8333333333333333,1.1666666666666667,1,31.799999999999997,2,-5,3,-1.6666666666666667,-6,Carbohydrate,CTRL1,749589617,CTRL,CTRL
Feature0148,Isoleucine,C6 H13 N O2,131.09459,7600391.705,5940583.052,5830159.615,18466774.96,10360246.38,2341905.89,4341702.137,36302479.41,179022694.6,703674377.3,74745432.45,268791.4194,Isoleucine-peak5,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,CTRL1,7600391.705,CTRL,CTRL
Feature0147,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,427.16895,610798677.3,3327969.6,1506661.206,207164729.6,594673898.4,692208180.5,1177663.394,1205314.139,86905356.03,553699.742,18786421.05,48777.22764,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],16,29,1,12,0,0,0,1.8125,0.75,-0.125,63.8625,3,-9,-3.3333333333333335,-0.4444444444444444,-10,Carbohydrate,CTRL1,610798677.3,CTRL,CTRL
Feature0146,Isoleucine,C6 H13 N O2,131.0946,4546665.498,474245844.2,405734711,299405508.1,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,238769.0126,Isoleucine-peak4,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,CTRL1,4546665.498,CTRL,CTRL
Feature0145,9-O-acetylneuraminic acid,C11 H19 N O9,309.10604,666205960.7,19140262.85,16826752.25,107095154.1,652214042.3,673397169.7,12908791.92,74731583.16,94936641.07,6111356.069,76188487.63,110202.1724,9-O-acetylneuraminic acid,11,19,1,9,0,0,0,1.7272727272727273,0.8181818181818182,0.18181818181818166,55.11818181818182,3,-6,-7,-0.45454545454545453,-7,Carbohydrate,CTRL1,666205960.7,CTRL,CTRL
Feature0144,methyl N-acetylneuraminate,C12 H21 N O9,323.12166,24731475.28,2556722.699,3032337.27,17675422.11,513299765.1,656655264.7,1816746.104,3254953.797,6940221.478,2792272.641,3804967.468,324280.0591,methyl N-acetylneuraminate-peak3,12,21,1,9,0,0,0,1.75,0.75,0,60.3,3,-6,-3.5,-0.38461538461538464,-7,Carbohydrate,CTRL1,24731475.28,CTRL,CTRL
Feature0143,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,402.1679,256300.8884,262116.3609,580133.8115,633309591.3,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,480005.627,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak4",22,26,0,7,0,0,0,1.1818181818181819,0.3181818181818182,-0.5454545454545459,75.84545454545456,10,3,0.2,0.35135135135135137,3,Phenol,CTRL1,256300.8884,CTRL,CTRL
Feature0142,"3',4'-Dimethoxyacetophenone",C10 H12 O3,180.07864,113926.1039,389306311.7,179447171,263123.0167,111289.2072,117131.0571,486749658.7,54040767.84,92938.88614,625563644.6,89458.14014,261838.6732,"3',4'-Dimethoxyacetophenone",10,12,0,3,0,0,0,1.2,0.3,-0.5999999999999996,77.39999999999999,5,2,0.2857142857142857,0.4117647058823529,2,Phenol,CTRL1,113926.1039,CTRL,CTRL
Feature0141,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08487,222728320,29633534.88,32027568.76,23471317.5,22293645.1,1172448.313,19717069.51,34901588.98,545589546.9,619038530.8,487483308.6,400058.7494,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak3",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818166,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,CTRL1,222728320,CTRL,CTRL
Feature0140,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08489,14890325.63,513657587.3,588948954.2,572112901.2,216596498.1,262780104.8,488385015.8,591610130.9,28389972.49,39301736.46,12502089.36,418450.4043,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak2",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818166,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,CTRL1,14890325.63,CTRL,CTRL
Feature0139,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08486,13710040.44,513657587.3,588948954.2,572112901.2,216173261,258274522,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,347185.7544,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak1",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818166,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,CTRL1,13710040.44,CTRL,CTRL
Feature0138,L-Pyroglutamic acid,C5 H7 N O3,129.04256,17627856.28,8643122.035,11041245.91,570516382.3,417944873.4,506071437.2,7562294.449,15058261.68,2668205.335,421227.5335,912739.2921,123300.8252,L-Pyroglutamic acid-peak3,5,7,1,3,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Phenol,CTRL1,17627856.28,CTRL,CTRL
Feature0137,Isoleucine,C6 H13 N O2,131.0946,262487841.5,224127603.6,134631419.2,96861444.75,256959057.3,325628227.3,209857723.4,555798124.3,1059227.258,17837733.41,385915.1446,52955.58614,Isoleucine-peak3,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,CTRL1,262487841.5,CTRL,CTRL
Feature0136,DL-Stachydrine,C7 H13 N O2,143.09464,2953497.736,65203253.84,132332103.5,4632637.237,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,65861.81652,DL-Stachydrine,7,13,1,2,0,0,0,1.8571428571428572,0.2857142857142857,-0.8571428571428568,84.72857142857141,2,0,-0.25,0,-1,Lipid,CTRL1,2953497.736,CTRL,CTRL
Feature0135,L-Tyrosine,C9 H11 N O3,181.07392,4686035.809,270127508.6,189117348.4,7376551.601,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,64421.49027,L-Tyrosine-peak4,9,11,1,3,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,CTRL1,4686035.809,CTRL,CTRL
Feature0134,methyl N-acetylneuraminate,C12 H21 N O9,323.12166,539870182.4,2052936.064,1329564.612,178746879.1,34395714.15,32405052.95,1280639.014,1608761.985,68148121.98,1448806.63,13893241.94,260382.6485,methyl N-acetylneuraminate-peak2,12,21,1,9,0,0,0,1.75,0.75,0,60.3,3,-6,-3.5,-0.38461538461538464,-7,Carbohydrate,CTRL1,539870182.4,CTRL,CTRL
Feature0133,N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,172.13244,5107038.521,84566.9988,88463.79228,332720.1237,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,59917.69005,N-Methyl-Nâ€²-piperazinoacetohydrazide-peak2,7,16,4,1,0,0,0,2.2857142857142856,0.14285714285714285,-0.2857142857142856,68.44285714285714,2,1,-1.5,-1,-3,Lipid,CTRL1,5107038.521,CTRL,CTRL
Feature0132,L-Saccharopine,C11 H20 N2 O6,276.13216,4383513.321,494493253.2,345580759.7,30916747.54,6083871.571,5628225.592,186557719.2,85987851.28,16339689.96,498999067,33622318.64,29786.64852,L-Saccharopine,11,20,2,6,0,0,0,1.8181818181818181,0.5454545454545454,-0.18181818181818166,65.48181818181817,3,-3,-1.6666666666666667,-0.3333333333333333,-5,Protein,CTRL1,4383513.321,CTRL,CTRL
Feature0131,L-Pyroglutamic acid,C5 H7 N O3,129.04256,429289316.4,477854.7963,472737.8871,15775238.17,16117154.66,12707085.68,1011113.273,15135196.38,482100692.2,9525773.122,424603236.7,98797.05007,L-Pyroglutamic acid-peak2,5,7,1,3,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Phenol,CTRL1,429289316.4,CTRL,CTRL
Feature0130,"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",C11 H19 N O7,277.11616,379637191.9,229375470.7,61303559.44,474679144.6,343323281.8,407363289.6,59771436.63,38402785.31,411665059.4,194426787,276990336.6,111352.9936,"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",11,19,1,7,0,0,0,1.7272727272727273,0.6363636363636364,-0.18181818181818166,65.48181818181817,3,-4,-1.6666666666666667,-0.23076923076923078,-5,Amino Sugar,CTRL1,379637191.9,CTRL,CTRL
Feature0129,Valine,C5 H11 N O2,117.07893,342528852,250672733.5,145530791.4,138910573,334655086.3,382825729.4,192643993.6,463680664.6,63863453.34,342355863.7,29566812.7,375918.1143,Valine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein,CTRL1,342528852,CTRL,CTRL
Feature0128,L-Tyrosine,C9 H11 N O3,181.07392,3393826.723,270127508.6,189117348.4,169164808.8,348656323.8,445441513.2,214830217.5,16665946.88,2002865.977,1060134.72,706004.5169,58908.07059,L-Tyrosine-peak3,9,11,1,3,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,CTRL1,3393826.723,CTRL,CTRL
Feature0127,N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,172.13243,127396.3128,100662.9339,1046830.038,434715633.7,5048699.512,5860518.819,101269.5863,263142.7933,5503340.413,121747.7297,5452261.3,65420.26728,N-Methyl-Nâ€²-piperazinoacetohydrazide-peak1,7,16,4,1,0,0,0,2.2857142857142856,0.14285714285714285,-0.2857142857142856,68.44285714285714,2,1,-1.5,-1,-3,Lipid,CTRL1,127396.3128,CTRL,CTRL
Feature0126,Tetrolic Acid,C4 H4 O2,84.02114,403014788.5,5326748.551,10368700.28,53478070.83,278883550.8,427389489.4,1920718.184,8075780.08,38866487.16,3232904.952,43163181.19,210608.0058,Tetrolic Acid-peak3,4,4,0,2,0,0,0,1,0.5,0,60.3,3,1,0.5,0.6666666666666666,1,Phenol,CTRL1,403014788.5,CTRL,CTRL
Feature0125,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,607564.3405,356212.2805,560964.8759,414909789.1,955029.4691,1028836.813,613179.8165,243820.7053,169041904.8,852920.9276,158288026.1,818263.9764,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak3",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,CTRL1,607564.3405,CTRL,CTRL
Feature0124,L-Tyrosine,C9 H11 N O3,181.0739,3392411.279,2210141.589,220876.3186,419308.6713,328822.2631,244591.6369,935100.8139,1346581.537,84394827.64,396991002.6,64664924.04,97084.17986,L-Tyrosine-peak2,9,11,1,3,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,CTRL1,3392411.279,CTRL,CTRL
Feature0123,[Similar to: D-(+)-Glucose; ΔMass: 73.0528 Da],C9 H19 N O7,253.1162,304254795.5,111147329.6,205187050.7,373238496.3,284039762.4,331571967.5,741801.3449,18925366.28,312434966.1,95857137.15,279326087.7,77885.72952,[Similar to: D-(+)-Glucose; ΔMass: 73.0528 Da],9,19,1,7,0,0,0,2.111111111111111,0.7777777777777778,-0.22222222222222232,66.63333333333333,1,-6,-7,-0.7777777777777778,-7,Carbohydrate,CTRL1,304254795.5,CTRL,CTRL
Feature0122,L-Tyrosine,C9 H11 N O3,181.0739,373109698.7,7182370.657,2556935.041,7122795.359,4528615.244,28851858.38,581397.373,16950425.3,3638644.715,1439543.242,751957.5898,64421.49027,L-Tyrosine-peak1,9,11,1,3,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,CTRL1,373109698.7,CTRL,CTRL
Feature0121,"1,2-di-O-methyl-4-[(2R)-2,4-dihydrobutyramido]-4,6-dideoxy-alpha-D-mannopyranoside",C12 H23 N O7,293.14749,320952612.6,60553846.27,1230401.012,52325856.67,288075117,363905423.4,12097629.49,77557397.01,2674903.778,1839426.561,12187347.78,133032.869,"1,2-di-O-methyl-4-[(2R)-2,4-dihydrobutyramido]-4,6-dideoxy-alpha-D-mannopyranoside",12,23,1,7,0,0,0,1.9166666666666667,0.5833333333333334,-0.5,74.55,2,-5,-1.5,-0.3333333333333333,-6,Amino Sugar,CTRL1,320952612.6,CTRL,CTRL
Feature0120,muramic acid,C9 H17 N O7,251.10052,301796944.1,36492128.48,11083014.8,52269906.02,310005161.4,362707712.6,14306472.85,20536858.8,19749673.59,44039382.33,8473232.374,97079.37707,muramic acid,9,17,1,7,0,0,0,1.8888888888888888,0.7777777777777778,0,60.3,2,-5,-6,-0.5555555555555556,-6,Carbohydrate,CTRL1,301796944.1,CTRL,CTRL
Feature0119,Isoleucine,C6 H13 N O2,131.09459,9803000.939,752049.8923,116338.5442,662905.1376,2008247.307,1959503.594,769127.8648,3638124.385,54093117.19,348535203.8,19826332.07,193603.7946,Isoleucine-peak2,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,CTRL1,9803000.939,CTRL,CTRL
Feature0118,8-hydroxy-deoxyguanosine,C10 H13 N5 O5,283.0917,202943454.2,193706484.6,212487728.8,151778788.3,211658505.1,243495209.6,152893271.2,344067311.5,113768181.9,226518892,90705267.19,143692.222,8-hydroxy-deoxyguanosine-peak2,10,13,5,5,0,0,0,1.3,0.5,1.2000000000000002,26.099999999999994,7,2,-Inf,-0.2,-3,Phenol,CTRL1,202943454.2,CTRL,CTRL
Feature0117,NP-019445,C10 H10 O4,194.05792,471493.5472,10784027.44,28887922.65,533166.5114,123064.2446,516403.9741,342683453.2,128802825.4,283200.8828,33268595.87,170654.7895,193446.4559,NP-019445,10,10,0,4,0,0,0,1,0.4,-0.20000000000000018,66,6,2,0.3333333333333333,0.5,2,Phenol,CTRL1,471493.5472,CTRL,CTRL
Feature0116,L-Glutamine,C5 H10 N2 O3,146.06916,3274948.923,164890437,161963782.5,95478673.21,4289940.731,929040.9599,75055290.21,337003299.6,56984395.26,169812577.5,66824240.75,49943.46765,L-Glutamine,5,10,2,3,0,0,0,2,0.6,0.3999999999999999,48.9,2,-1,-Inf,-1,-3,Amino Sugar,CTRL1,3274948.923,CTRL,CTRL
Feature0115,Isoleucine,C6 H13 N O2,131.09461,10115423.67,224127603.6,134631419.2,96861444.75,256959057.3,325628227.3,209857723.4,142417.4048,1068998.374,1694060.504,389475.1187,52335.70885,Isoleucine-peak1,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,CTRL1,10115423.67,CTRL,CTRL
