FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0154,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,2257925.798,2325583.605,110975740,1415762.65,820725.073,2896258.067,2154249.787,1357274.709,3692159567,2269695.912,2151323.734,1634907.96,487806.7065,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak2",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,1950475.61067924,1672710541.8736713,857.591108914795,9.744146138491322,0.39256774575114173,0.5211591316788394,Upregulated
Feature0153,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,817106.9296,751110.9385,2206629.964,2921797054,259358.3891,7378643.782,872850.1032,286793.2395,909997.4955,2675385293,1738263.012,2874776777,465876.0683,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak6",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,1881531.4395600655,5323983.99052602,2.829601397344101,1.500598836598779,0.3298479124140072,0.5211591316788394,Upregulated
Feature0152,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,1380037.349,1273825.138,2638831468,2444881.928,715653.4896,3381999.28,2067009.134,1232666.528,351439254.5,2118231.585,2005258.7,1519800.113,408542.5427,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak1",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,1611733.3536143666,1941946361.7720218,1204.8806692602975,10.234674554444025,0.3731906208504352,0.5211591316788394,Upregulated
Feature0151,Choline O-Sulfate,C5 H13 N O4 S,183.05656,18455380.89,173889126.6,358388843.4,2281488183,27346608.57,18362239.37,17267620.54,388426123.5,1013034308,1617001965,273773566.5,1510370737,75654.80713,Choline O-Sulfate,5,13,1,4,1,0,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,Other,14912750.29053416,1040394792.1511257,69.76545384867836,6.124440920737406,0.02608491866294166,0.3797798484215547,Upregulated
Feature0150,Betaine,C5 H11 N O2,117.07895,1932171556,1399168738,2002960831,2195957216,372689542.6,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,277672.4408,Betaine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein,1619455001.8463867,7094722692.14141,4.3809322791016205,2.131237913506016,0.294962708732123,0.5211591316788394,Upregulated
Feature0149,NA,C30 H32 O10,552.19967,805509.1262,768277.4123,799783.1297,2091823089,799178.472,1446382.912,806836.4141,853498.0929,833131.6292,1831880232,870619.2174,2085742045,1545078.781,Feature0149,30,32,0,10,0,0,0,1.0666666666666669,0.3333333333333333,-0.4000000000000003,71.7,15,5,0.25,0.4,5,Phenol,777890.2743182303,11507864.400567336,14.79368592267492,3.8869096469759836,0.4017356592709637,0.5211591316788394,Upregulated
Feature0148,L-Phenylalanine,C9 H11 N O2,165.07901,1112107575,819605334.9,579010543.8,396138389,14621775.88,1096953852,1312459322,699857469.8,1801302787,189118774.2,41563789.98,3237259.529,342698.6654,L-Phenylalanine-peak2,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,941892443.5186783,1359194842.213675,1.4430467635307251,0.5291180527194177,0.5323050396105812,0.5988484044484268,Upregulated
Feature0147,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,351486.3383,532220.9311,719590.199,1196298798,515743.5294,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,664340.0482,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak5",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,699255.6092917457,7748531.563172123,11.081114631343995,3.4700311019272574,0.3853200229862231,0.5211591316788394,Upregulated
Feature0146,L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,257.10283,1049806155,1488491986,1053173317,1513789617,81659195.34,958507404.1,980587971.8,861982582,755759749.2,1382905160,1632046153,836587745,29374.38688,L-alpha-Glycerylphosphorylcholine,8,20,1,6,0,1,0,2.5,0.75,-1.25,95.925,0,-6,-Inf,-1.6666666666666667,-8,Carbohydrate,832253186.8251357,2119898309.8176033,2.5471795643157016,1.348900666489386,0.17990304962068324,0.4092839764012172,Upregulated
Feature0145,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,C10 H19 N O7,265.11614,502369597.5,79698117.86,23169906.2,1441632291,161067.2984,555393728.8,536760591.2,26406342.01,33511708.23,1095664071,100516511.3,989159664.9,124542.1197,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose-peak2,10,19,1,7,0,0,0,1.9,0.7,-0.20000000000000015,66,2,-5,-3,-0.4545454545454546,-6,Amino Sugar,427163460.5604643,32183039.518158566,0.07534127445248352,-3.7304157520465373,0.10695105978170048,0.39182910134561677,Downregulated
