FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0279,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08956,2781581.563,2755193.107,133982144.8,1932928.476,3584031.268,2986687.263,1774515.843,3996839365,2836879.689,2630914.973,2191114.355,730601.324,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak3",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,21.556714527561034,22.46628602252663,1.0421943470932307,0.05962433466363828,0.009212418108912705,0.03569812017203673,Upregulated
Feature0278,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,817106.9296,751110.9385,2206629.964,2921797054,7378643.782,872850.1032,286793.2395,909997.4955,2675385293,1738263.012,2874776777,465876.0683,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak7",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,20.236177997823933,20.492491223818266,1.012666088725939,0.018158545755647796,0.8524822938871703,0.9108498021077915,Upregulated
Feature0277,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime",C10 H13 N O3,195.08955,1749356.625,1576816.303,2830391164,2809624.038,3866751.77,2654103.228,1526934.641,651580794.2,2518249.91,2343500.54,1911133.118,579778.5693,"1-(3,4-dimethoxyphenyl)ethan-1-one oxime-peak2",10,13,1,3,0,0,0,1.3,0.3,-0.4000000000000003,71.7,5,2,0.16666666666666666,0.3333333333333333,1,Phenol,21.309576965536767,22.067907778833835,1.0355863851508404,0.05044790337066807,0.15869280213038026,0.2820503506407042,Upregulated
Feature0276,Choline O-Sulfate,C5 H13 N O4 S,183.05656,18455380.89,173889126.6,358388843.4,2281488183,18362239.37,17267620.54,388426123.5,1013034308,1617001965,273773566.5,1510370737,75097.23344,Choline O-Sulfate,5,13,1,4,1,0,0,2.6,0.8,0,60.3,0,-4,6,-4,-6,Other,23.697503256421633,27.801432748225565,1.1731798260515836,0.23042416790067285,0.0076284574388789,0.03224757008253353,Upregulated
Feature0275,Betaine,C5 H11 N O2,117.07895,1932171556,1399168738,2002960831,2195957216,1922636748,2159050538,506181853.5,1849146123,2252386478,1274603634,1898401604,276652.6598,Betaine,5,11,1,2,0,0,0,2.2,0.4,-0.7999999999999998,83.1,1,-1,-1,-0.3333333333333333,-2,Protein,31.184002517560835,29.377476608428967,0.9420688249330872,-0.08609563190438202,0.0329548745334654,0.09133288822811271,Downregulated
Feature0274,NA,C30 H32 O10,552.19967,801339.7713,764300.7706,795643.4129,2091823089,1442045.221,802660.1892,849278.6099,828862.5083,1831460665,866730.3238,2085742045,1537081.377,Feature0274,30,32,0,10,0,0,0,1.0666666666666669,0.3333333333333333,-0.4000000000000003,71.7,15,5,0.25,0.4,5,Phenol,19.871201410822135,20.95203800373777,1.0543921110037662,0.07641148120753816,0.057595295154826774,0.13617870634064974,Upregulated
Feature0273,L-Phenylalanine,C9 H11 N O2,165.07901,1114276985,823092033.2,579010543.8,396138389,1096837395,1313901615,698448659.6,1801302787,189142092.7,41680686.25,3240448.84,344192.227,L-Phenylalanine-peak2,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,29.8221613951755,27.8768325682022,0.9347690195490658,-0.09731817429205587,0.2811296476985228,0.42397390112371813,Downregulated
Feature0272,Citric acid,C6 H8 O7,192.02697,90697292.98,640009222,252913102.6,1749547143,1410964699,1607313906,430161123,461060593.3,42128945.36,9433412.19,30358473.39,223896.4851,Citric acid-peak2,6,8,0,7,0,0,0,1.3333333333333333,1.1666666666666667,1,31.799999999999997,3,-4,4,-0.2,-4,Other,28.71957649231817,26.863281700831767,0.9353648271246995,-0.09639891531462837,0.4549997930105046,0.5904415918601431,Downregulated
Feature0271,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",C11 H12 O3,192.07866,351486.3383,532220.9311,719590.199,1196298798,2351960.839,620492.3733,391500.384,967328.4151,1381709804,952632.6253,1661935952,664340.0482,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole-peak6",11,12,0,3,0,0,0,1.0909090909090908,0.2727272727272727,-0.5454545454545459,75.84545454545456,6,3,0.375,0.47368421052631576,3,Phenol,20.000662843578734,20.687812674617835,1.0343563529075595,0.04873330364405492,0.5226678238078074,0.6452403665591959,Upregulated
Feature0270,L-alpha-Glycerylphosphorylcholine,C8 H20 N O6 P,257.10283,1054614637,1511943134,1065144213,1523394896,963071590.3,984793503,871763245.8,759968428.4,1393915817,1654364950,845675553,59041.63733,L-alpha-Glycerylphosphorylcholine,8,20,1,6,0,1,0,2.5,0.75,-1.25,95.925,0,-6,-Inf,-1.6666666666666667,-8,Carbohydrate,30.018303216046935,29.86282609477867,0.9948205892868338,-0.0074917283110071675,0.5325194607695678,0.6516356559417079,Downregulated
