FeatureID,name4plot,KEGG Pathways,Formula,MW,Comment,log2FC,pval
Feature0374,D-Glucono-delta-lactone-peak3,Metabolic pathways,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0374,D-Glucono-delta-lactone-peak3,Biosynthesis of secondary metabolites,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0374,D-Glucono-delta-lactone-peak3,Microbial metabolism in diverse environments,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0374,D-Glucono-delta-lactone-peak3,Biosynthesis of cofactors,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0374,D-Glucono-delta-lactone-peak3,Galactose metabolism,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0374,D-Glucono-delta-lactone-peak3,Carbon metabolism,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0374,D-Glucono-delta-lactone-peak3,Ascorbate and aldarate metabolism,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0374,D-Glucono-delta-lactone-peak3,Other,C6 H10 O6,178.04779,Upregulated,2.342634394587113,0.030610243577144106
Feature0203,D-(-)-Glutamine,Metabolic pathways,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
Feature0203,D-(-)-Glutamine,Microbial metabolism in diverse environments,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
Feature0203,D-(-)-Glutamine,ABC transporters,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
Feature0203,D-(-)-Glutamine,Biosynthesis of cofactors,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
Feature0203,D-(-)-Glutamine,Biosynthesis of plant secondary metabolites,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
Feature0203,D-(-)-Glutamine,Biosynthesis of amino acids,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
Feature0203,D-(-)-Glutamine,Central carbon metabolism in cancer,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
Feature0203,D-(-)-Glutamine,Other,C5 H10 N2 O3,146.06919,Upregulated,2.43511572341705,0.03339713355613871
