FeatureID,Name,Formula,MW,KEGG Pathways,Metabolika Pathways,name4plot,C,H,N,O,S,P,F,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0342,NA,C8 H16 N2 O9,284.08565,NA,NA,Feature0342,8,16,2,9,0,0,0,0,2,1.125,1,31.799999999999997,2,-7,3,-3,-9,Carbohydrate,798906.35699915,10623737.251440769,13.297850440626888,3.733121151946092,0.023590592091947263,0.042020742163781065,Upregulated
Feature0341,3-Deoxytetronic acid,C4 H8 O4,120.04228,NA,NA,3-Deoxytetronic acid,4,8,0,4,0,0,0,0,2,1,0,60.3,1,-3,-Inf,-0.5,-3,Carbohydrate,4254231.975575859,5696095.896561941,1.338924611836878,0.42107473199086676,0.37127119508707285,0.4226689811650662,Upregulated
Feature0340,6-Deoxy-D-arabino-hexos-2-ulose,C6 H10 O5,162.05281,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Fructose and mannose metabolism;Other,Superpathway of butirocin biosynthesis;Other,6-Deoxy-D-arabino-hexos-2-ulose,6,10,0,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,704602.158162424,1423046.8018390716,2.0196458176488195,1.0141023118267447,0.14914807300874852,0.20161518169562054,Upregulated
Feature0339,Oleic acid,C18 H34 O2,282.2559,Biosynthesis of plant secondary metabolites;Other,Other,Oleic acid,18,34,0,2,0,0,0,0,1.8888888888888888,0.1111111111111111,-1.666666666666667,107.8,2,0,0,0.0588235294117647,0,Lipid,115283.96715430982,4696677.310620585,40.740073633430676,5.3483766827142185,0.0017497211630990103,0.004274318841284725,Upregulated
Feature0338,DL-TYROSINE,C9 H11 N O3,181.07387,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Central carbon metabolism in cancer;Other,Superpathway of chorismate metabolism;Superpathway of betalain biosynthesis;Other,DL-TYROSINE,9,11,1,3,0,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Lignin,710245.4070353217,5299561.226223765,7.461591688913532,2.899483415569232,1.1936074559552773e-9,1.4640186925060366e-7,Upregulated
Feature0337,Mevalonic acid,C6 H12 O4,148.07361,Metabolic pathways;Biosynthesis of secondary metabolites;Biosynthesis of cofactors;Biosynthesis of plant secondary metabolites;Biosynthesis of amino acids;2-Oxocarboxylic acid metabolism;Biosynthesis of plant hormones;Biosynthesis of terpenoids and steroids;Other,Superpathway of branched chain amino acid biosynthesis;Methanobacterium thermoautotrophicum biosynthetic metabolism;Superpathway of L-threonine metabolism;Superpathway of coenzyme A biosynthesis II (plants);Superpathway of L-isoleucine biosynthesis I;Other,Mevalonic acid-peak2,6,12,0,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar,350810.1010018032,3278487.8143344824,9.345477239601008,3.2242683390507443,0.06582640201320579,0.1032689426078733,Upregulated
Feature0336,MFCD01318772,C8 H13 N3 O2,183.10073,NA,NA,MFCD01318772,8,13,3,2,0,0,0,0,1.625,0.25,0,60.3,4,2,-0.3333333333333333,0,-1,Lipid,3570648.161759712,3077735.383304178,0.8619542570073291,-0.2143167858279133,0.0903465827259321,0.13375987572410727,Downregulated
Feature0335,Leu-arg,C12 H25 N5 O3,287.19584,NA,NA,Leu-arg,12,25,5,3,0,0,0,0,2.0833333333333335,0.25,-0.33333333333333304,69.79999999999998,3,0,-1.25,-0.6363636363636364,-5,Lipid,1284053.1962564404,1088099.2098138921,0.8473941835012465,-0.2388948687849293,0.37199813839381557,0.4226689811650662,Downregulated
Feature0334,Ser-Leu,C9 H18 N2 O4,218.12657,Other,NA,Ser-Leu,9,18,2,4,0,0,0,0,2,0.4444444444444444,-0.44444444444444464,72.96666666666667,2,-2,-1.3333333333333333,-0.4,-4,Protein,6606906.071100693,5355930.892336704,0.8106564305135369,-0.302837488724929,0.33121052177319765,0.38925772662004676,Downregulated
Feature0333,beta-D-Ethyl glucuronide,C8 H14 O7,222.07387,NA,NA,beta-D-Ethyl glucuronide-peak5,8,14,0,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,129513719.21263121,145792.2657313147,0.0011256897463654636,-9.794975026565846,8.451191039598741e-9,2.6275521232206993e-7,Downregulated
Feature0332,NA,C8 H11 N O5,201.06375,NA,NA,Feature0332,8,11,1,5,0,0,0,0,1.375,0.625,0.25,53.175,4,-1,-1,0.1111111111111111,-2,Lignin,6150482.508503071,3543949.9928493453,0.5762068240906006,-0.795341348267799,0.030861347930991018,0.05277290496199464,Downregulated
Feature0331,NA,C9 H13 N O4 S,231.05648,NA,NA,Feature0331,9,13,1,4,1,0,0,0,1.4444444444444444,0.4444444444444444,0,60.3,4,0,-0.6666666666666666,0,-2,Lignin,6584512.150637949,5740894.7229748815,0.8718785221496884,-0.19780095495480557,0.35054802564501153,0.4063392334824771,Downregulated
Feature0330,"8-Azabicyclo[3.2.1]octane-1,2,3,4-tetrol",C7 H13 N O4,175.08438,NA,NA,"8-Azabicyclo[3.2.1]octane-1,2,3,4-tetrol",7,13,1,4,0,0,0,0,1.8571428571428572,0.5714285714285714,-0.2857142857142856,68.44285714285714,2,-2,-1.5,-0.25,-3,Amino Sugar,457038.6321235587,1936182.0601262124,4.236364114626469,2.082826594002178,6.262350320149328e-6,3.63004035506961e-5,Upregulated
Feature0329,NA,C21 H36 N2 O6 S4,540.14577,NA,NA,Feature0329,21,36,2,6,4,0,0,0,1.7142857142857142,0.2857142857142857,-0.4761904761904763,73.87142857142857,5,-1,-0.7777777777777778,-0.3333333333333333,-7,Lipid,16909456.704174217,1089815.1479123035,0.06445003922824291,-3.955674953074931,0.06820464031920831,0.10543231596123027,Downregulated
Feature0328,3-methoxyanthranilic acid,C8 H9 N O3,167.05821,Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;Biosynthesis of cofactors;Other,Other,3-methoxyanthranilic acid,8,9,1,3,0,0,0,0,1.125,0.375,0,60.3,5,2,0.25,0.4545454545454546,1,Lignin,1542870.1361497454,2056089.86143096,1.332639613183493,0.4142866839760585,0.1906576702810543,0.2507881662927714,Upregulated
Feature0327,cis-trihomoaconitic acid,C9 H12 O6,216.0633,Metabolic pathways;Microbial metabolism in diverse environments;2-Oxocarboxylic acid metabolism;Other,NA,cis-trihomoaconitic acid-peak2,9,12,0,6,0,0,0,0,1.3333333333333333,0.6666666666666666,0,60.3,4,-2,-0.6666666666666666,0.16666666666666666,-2,Tannin,2608731.8013422475,942168.0862148645,0.36115942839739185,-1.4692922611423547,1.8827717018509273e-6,1.314097800067382e-5,Downregulated
