FeatureID,name4plot,KEGG Pathways,Formula,MW,Comment,log2FC,pval
Feature1320,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one-peak2",Microbial metabolism in diverse environments,C6 H8 O4,144.04227,Downregulated,-2.0610506293773283,0.025345138295429455
Feature1320,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one-peak2",Other,C6 H8 O4,144.04227,Downregulated,-2.0610506293773283,0.025345138295429455
Feature1251,11-Aminoundecanoic acid,NA,C11 H23 N O2,201.1728,Upregulated,2.871813976651737,0.0022699817575416977
Feature1208,Feature1208,NA,C12 H22 N4 O7,334.14893,Upregulated,2.223661802779977,0.004397043052508576
Feature1045,Oxepanone-peak2,Microbial metabolism in diverse environments,C6 H10 O2,114.06804,Downregulated,-2.754038929514729,0.048374889679126655
Feature1045,Oxepanone-peak2,Degradation of aromatic compounds,C6 H10 O2,114.06804,Downregulated,-2.754038929514729,0.048374889679126655
Feature1045,Oxepanone-peak2,Other,C6 H10 O2,114.06804,Downregulated,-2.754038929514729,0.048374889679126655
Feature0952,Feature0952,NA,C19 H41 N O2,315.3138,Downregulated,-3.2106289988228367,0.03763242608860754
Feature0861,leu-gln-peak1,NA,C11 H21 N3 O4,259.1532,Upregulated,2.3516723321694983,0.022734157088549457
Feature0860,1-Naphthol,Other,C10 H8 O,144.05749,Upregulated,4.3272530708859005,0.03378875296175771
Feature0857,Nonivamide,NA,C17 H27 N O3,293.199,Downregulated,-2.867595019288667,0.01759166765022713
Feature0803,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one-peak1",Microbial metabolism in diverse environments,C6 H8 O4,144.04227,Downregulated,-2.0863455795099624,0.036353313662755765
Feature0803,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one-peak1",Other,C6 H8 O4,144.04227,Downregulated,-2.0863455795099624,0.036353313662755765
Feature0792,mebutamate-peak1,Other,C10 H20 N2 O4,232.14227,Upregulated,2.2634602710375957,0.045217604026162636
Feature0662,"(2E)-N-(4-Aminobutyl)-3-(2,4-dihydroxy-5-methoxyphenyl)acrylamide-peak2",NA,C14 H20 N2 O4,280.14231,Downregulated,-2.532553769008666,0.0059926276768354995
Feature0582,"(1R,5R)-3,3,5-Trimethylcyclohexyl 5-oxo-L-prolinate",NA,C14 H23 N O3,253.16772,Downregulated,-2.2762739663613494,0.045756930939380505
Feature0320,Bis(methylbenzylidene)sorbitol,NA,C22 H26 O6,386.17299,Upregulated,2.121016268465173,0.011996206491743608
Feature0173,"4-hydroxy-5,8-dimethylquinoline-3-carboxylic acid",Metabolic pathways,C12 H11 N O3,217.07394,Downregulated,-2.0275341579178128,0.029777295238806685
Feature0173,"4-hydroxy-5,8-dimethylquinoline-3-carboxylic acid",Other,C12 H11 N O3,217.07394,Downregulated,-2.0275341579178128,0.029777295238806685
Feature0106,"(2E)-N-(4-Aminobutyl)-3-(2,4-dihydroxy-5-methoxyphenyl)acrylamide-peak1",NA,C14 H20 N2 O4,280.14221,Downregulated,-2.1390813255163605,6.88331293173582e-4
Feature0104,Feature0104,NA,C14 H27 N O10,369.16362,Downregulated,-3.4204336167129443,0.011258293547800998
Feature0095,Proglumide,NA,C18 H26 N2 O4,334.18921,Downregulated,-2.0567820259276806,0.003922864266827165
