FeatureID,Name,Class,BiogeochemicalClass,FIShScore,1246,1154,1177
Feature0191,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,63.41,-0.102847412,-0.318148233,-0.262213
Feature0191,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,64.41,-0.102847412,-0.318148233,-0.262213
Feature0191,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",Carbohydrate,Carbohydrates,65.41,-0.102847412,-0.318148233,-0.262213
Feature0193,Butyl glyoxylate,Protein,Lipids,91.31,0.178225952,0.471916659,0.4422934
Feature0193,Butyl glyoxylate,Protein,Lipids,92.31,0.178225952,0.471916659,0.4422934
Feature0193,Butyl glyoxylate,Protein,Lipids,93.31,0.178225952,0.471916659,0.4422934
Feature0195,Caffeic acid,Phenol,Benzoic acids,71.43,0,0.471323621,0
Feature0197,Cetrimonium,Lipid,Lipids,,-0.0697983,0,0
Feature0198,Choline,Other,Other,,-0.098865309,0,0
Feature0199,Choline O-Sulfate,Other,Other,,0.218996216,0,0
Feature0200,Citric acid,Other,Carboxylic acids,,0,-0.057767697,0
Feature0201,Cyclo(leucylprolyl),Lipid,Amino acids & derivatives,,0,0.036539674,0
Feature0203,Cytarabine,Phenol,Cyclic amines,78.26,-0.122424181,-0.159095585,0
Feature0203,Cytarabine,Phenol,Cyclic amines,79.26,-0.122424181,-0.159095585,0
Feature0205,Cytonic acid A,Phenol,Lipids,,0.494732676,0,0
Feature0206,D-Gluconic acid,Carbohydrate,Carbohydrates,100,-0.059759579,-0.110392306,-0.1248015
Feature0206,D-Gluconic acid,Carbohydrate,Carbohydrates,101,-0.059759579,-0.110392306,-0.1248015
Feature0206,D-Gluconic acid,Carbohydrate,Carbohydrates,102,-0.059759579,-0.110392306,-0.1248015
Feature0207,D-Glucono-delta-lactone,Carbohydrate,Phenols,97.22,-0.198757079,-0.151316675,0
Feature0207,D-Glucono-delta-lactone,Carbohydrate,Phenols,98.22,-0.198757079,-0.151316675,0
Feature0208,D-Glucose 6-phosphate,Carbohydrate,Carbohydrates,,0,-0.08724822,-0.0666827
Feature0210,D-PANTOTHENIC ACID,Amino Sugar,Nitrated lipids,,0.104179185,0,0
Feature0211,Di(2-Tetrahydrofurylmethyl)amine,Lipid,Aromatic amines,,0,0,0.29092006
Feature0212,Diacetylene glycol,Phenol,Other,38.43,-0.209281818,0,0
Feature0213,"Diethyl 1-[4,6-diamino-2-(methylsulfanyl)-5-pyrimidinyl]-1,2-hydrazinedicarboxylate",Protein,Cyclic amines,12.5,0.341937797,0.338008271,0
Feature0213,"Diethyl 1-[4,6-diamino-2-(methylsulfanyl)-5-pyrimidinyl]-1,2-hydrazinedicarboxylate",Protein,Cyclic amines,13.5,0.341937797,0.338008271,0
Feature0215,"DL-2,6-Diaminopimelic acid",Amino Sugar,Carboxylic acids,93.33,0.223458102,0,0
Feature0216,DL-Arginine,Other,Amino acids & derivatives,96,-0.049896106,0,0
Feature0217,DL-Carbidopa,Phenol,Aromatic amines,66.67,0.084345224,0.107547693,0
Feature0217,DL-Carbidopa,Phenol,Aromatic amines,67.67,0.084345224,0.107547693,0
Feature0218,DL-Carnitine,Protein,Carboxylic acids,0,0.312485938,0.382738979,0.36801897
Feature0219,DL-Stachydrine,Lipid,Other,,0,0.371672524,0
Feature0221,DL-α-AMINOSUBERIC ACID,Protein,Other,,0.460549563,0.139534126,0
Feature0222,Furan,Phenol,Other,,0,0.121708937,0
Feature0223,Glucosamine,Carbohydrate,Carbohydrates,58.33,0.257072567,0.221453121,0
Feature0223,Glucosamine,Carbohydrate,Carbohydrates,59.33,0.257072567,0.221453121,0
Feature0224,Glutaric acid,Carbohydrate,Carbohydrates,94.74,-0.11043763,-0.145312078,0
Feature0224,Glutaric acid,Carbohydrate,Carbohydrates,95.74,-0.11043763,-0.145312078,0
Feature0225,Glycerol 3-phosphate,Other,Other,,0,0.202124323,0.2430078
Feature0226,Glycerylphosphorylethanolamine,Other,Lipids,,0.206170627,0.238684877,0
Feature0228,Guanine,Phenol,Amino acids & derivatives,77.78,-0.404169114,0,0
Feature0229,H-arg-glu-OH,Protein,Amino acids & derivatives,,0,0.165384249,0
Feature0232,Hordenine,Lipid,Phenols,88.89,-0.098309258,-0.603474495,-0.6491808
Feature0232,Hordenine,Lipid,Phenols,89.89,-0.098309258,-0.603474495,-0.6491808
Feature0232,Hordenine,Lipid,Phenols,90.89,-0.098309258,-0.603474495,-0.6491808
Feature0233,Hypoxanthine,Condensed HC,Cyclic amines,73.08,-0.375207964,-0.293688853,0
Feature0234,Imidazoleacetic acid,Phenol,Benzoic acids,,0,0.289078018,0.23009516
Feature0235,Indole-3-acetic acid,Phenol,Benzoic acids,,0,0.297452382,0.2510249
Feature0236,Inosine,Phenol,Amino acids & derivatives,92.31,-0.256495232,0,0
Feature0237,Inosine-5'-monophosphate (IMP),Other,Other,66.67,-0.590715438,-0.645609574,-0.7555314
Feature0240,L-(+)-Valine,Protein,Amino acids & derivatives,42.55,0.254698097,0,0
Feature0241,L-Alanyl-L-proline,Protein,Amino acids & derivatives,,0.144709454,0.091305286,0
